% # columns="iteration, evaluation, void, void, void, xmean", seed=263672, Sat Jan  4 16:49:20 2020, <python>{}</python> # scaling_of_variables: 1, typical_x: 0
1 6 0 0 0 0.27044186023214234 0.3686706852240948
2 12 0 0 0 0.08704850986529461 0.685269370392835
3 18 0 0 0 0.046276623931165016 1.016376837848404
4 24 0 0 0 0.07595583796311511 1.0232841595084006
5 30 0 0 0 0.25791526295068623 1.0520047671302357
6 36 0 0 0 0.6844953881953019 1.5882685555373686
7 42 0 0 0 1.0144282477969977 2.1676482607498797
8 48 0 0 0 1.736792213956363 2.224118580707927
9 54 0 0 0 1.2995294396895374 1.743323336325405
10 60 0 0 0 1.1142179129236545 2.26930659026223
11 66 0 0 0 1.0152099610835648 1.9443412013555756
12 72 0 0 0 1.107586735410436 2.1282566351623164
13 78 0 0 0 0.8880053828753777 1.9136597343541548
14 84 0 0 0 0.9525698546767585 1.9336532805141449
15 90 0 0 0 1.0457929964420802 2.080178458263354
16 96 0 0 0 0.9883932186043788 2.0988364910733806
17 102 0 0 0 0.9705727100600474 1.9870850770137833
18 108 0 0 0 1.0367570582263481 2.0013965051375227
19 114 0 0 0 1.0477794116703814 1.9798464057650782
20 120 0 0 0 1.0212622514017002 1.9939356422089167
21 126 0 0 0 0.9946167607211588 1.991650542109623
22 132 0 0 0 0.9857771649404152 2.014645747000444
23 138 0 0 0 1.000001792570935 2.0144844062821385
24 144 0 0 0 1.0078441004008674 2.015535556270414
25 150 0 0 0 0.9994470093105807 1.996738000211324
26 156 0 0 0 1.0029560408900882 1.9939722443858507
27 162 0 0 0 1.0030609188540118 2.001439081061961
28 168 0 0 0 1.0030273891883823 2.003718651895923
29 174 0 0 0 1.0048936329488545 1.9992511266540804
30 180 0 0 0 1.0000095859303568 2.0002310437445012
31 186 0 0 0 1.0020424499889786 1.9999425060272442
32 192 0 0 0 1.0014187595754307 1.9997354466605515
33 198 0 0 0 1.0013275250162668 1.9997955584993252
34 204 0 0 0 1.0004829951872376 2.0006141251328993
35 210 0 0 0 1.0004155325029542 2.0002158390867195
36 216 0 0 0 1.000262314950446 2.0001768234765347
37 222 0 0 0 0.9999761229676394 1.9999912958823831
38 228 0 0 0 1.0000083406558575 2.0000386895378495
39 234 0 0 0 0.9999509986230178 2.000058914509635
40 240 0 0 0 1.000052349928609 2.0000772237151168
41 246 0 0 0 1.0000163116934644 1.9999970576913642
42 252 0 0 0 0.9999199120526956 2.0000191244881895
43 258 0 0 0 0.9999681790717097 1.999999986834702
44 264 0 0 0 0.9999931077546267 2.0000025444041807
45 270 0 0 0 1.0000085485752237 2.0000199813144635
46 276 0 0 0 0.9999875662118228 1.9999973617043798
47 282 0 0 0 0.9999993440755154 1.9999973511662534
48 288 0 0 0 1.0000039453627336 1.9999931275980858
49 294 0 0 0 0.9999937317833225 1.9999901021608502
50 300 0 0 0 0.9999950680954884 1.9999941763855764
51 306 0 0 0 1.0000018818400138 1.9999998813627742
52 312 0 0 0 1.0000010403573827 2.0000009664724834
53 318 0 0 0 0.9999971177638741 2.0000027791618535
54 324 0 0 0 1.0000007964150364 1.9999982762555264
55 330 0 0 0 0.9999994839475024 1.9999976209643755
56 336 0 0 0 1.0000010477927197 1.9999989173903836
57 342 0 0 0 1.0000003945798803 1.999999885194272
58 348 0 0 0 1.0000000316159492 1.9999997025056429
59 354 0 0 0 0.9999998157088228 2.00000013143492
60 360 0 0 0 0.9999993551527324 2.000000247962001
61 366 0 0 0 1.0000001583750575 1.9999996619561156
62 372 0 0 0 1.0000000077800093 1.9999998185045833
63 378 0 0 0 1.00000010992584 1.9999999214404436
64 384 0 0 0 1.0000000041726407 2.0000000381272507
65 390 0 0 0 0.9999998962150332 2.0000000544602665
66 396 0 0 0 0.9999998866570333 2.000000152139305
67 402 0 0 0 1.0000000785239127 2.0000000341648514
68 408 0 0 0 1.000000140656846 2.0000000152939736
69 414 0 0 0 1.000000005598352 2.000000088669879
70 420 0 0 0 1.0000000254165926 2.0000000093386294
71 426 0 0 0 1.0000000115024588 1.9999999864228075
72 432 0 0 0 1.0000000188581906 1.9999999678395681
73 438 0 0 0 1.0000000056650458 1.9999999944126936
73 438 0 0 0 1.0000000056650458 1.9999999944126936
